domains1,qty_sent,delivered,bounced,Textbox33,opened,Textbox34,click,Textbox35,unsub,Textbox37,complaints,Textbox54,gross_opens,gross_clicks,all_click_activity,total_clicks_negated,Textbox16,qty_sent1,delivered1,bounced1,Textbox38,opened1,Textbox39,click1,Textbox40,unsub1,Textbox41,Textbox44,Textbox58,Textbox5,Textbox12,Textbox56,Textbox49,Textbox19
bar-s.com,3474,3452,22,0.006332758,1238,0.358632677,173,0.050115875,3,0.000869061,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
jacklinks.com,3460,3444,16,0.004624277,707,0.205284553,112,0.032520325,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
waynesanderson.com,3420,3420,0,0,839,0.245321637,200,0.058479532,2,0.000584795,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
wolverinepacking.com,3416,3415,1,0.00029274,1569,0.459443631,128,0.037481698,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
fosterfarms.com,3358,3353,5,0.001488982,630,0.187891441,103,0.030718759,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
vincitgroup.com,3357,3357,0,0,1418,0.422400953,247,0.073577599,3,0.000893655,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
fieldale.com,3344,3331,13,0.00388756,1457,0.437406184,205,0.06154308,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
georgesinc.com,3343,3341,2,0.000598265,1064,0.318467525,148,0.044298114,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
freshmark.com,3235,3234,1,0.000309119,1153,0.356524428,69,0.021335807,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
jbssa.com.au,3177,3174,3,0.000944287,991,0.312224323,88,0.027725268,7,0.002205419,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
live.com,3128,3123,5,0.001598465,1282,0.410502722,139,0.044508485,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
pssi.com,3123,3120,3,0.000960615,872,0.279487179,91,0.029166667,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
pecofoods.com,3057,3057,0,0,415,0.135754007,73,0.023879621,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
reiser.com,3036,3034,2,0.000658762,2207,0.727422544,70,0.023071852,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
iastate.edu,3014,2987,27,0.008958195,1109,0.371275527,111,0.037161031,1,0.000334784,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
sandersonfarms.com,2995,2995,0,0,987,0.329549249,195,0.065108514,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
ksu.edu,2984,2953,31,0.01038874,1066,0.360988825,47,0.015916018,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
darlingii.com,2981,2978,3,0.001006374,383,0.128609805,137,0.04600403,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
sugar-creek.com,2955,2933,22,0.007445008,723,0.246505285,65,0.022161609,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
heb.com,2952,2952,0,0,545,0.184620596,80,0.027100271,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
amickfarms.com,2898,2895,3,0.001035197,1934,0.668048359,201,0.069430052,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
provisur.com,2866,2822,44,0.015352408,559,0.198086464,73,0.025868179,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
wholestonefarms.com,2794,2792,2,0.00071582,845,0.30265043,274,0.098137536,1,0.000358166,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
wlfoods.com,2782,2782,0,0,1676,0.602444285,322,0.115744069,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
jsfoods.com,2766,2762,4,0.001446132,1041,0.376900797,67,0.024257784,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
walmart.com,2734,2734,0,0,2,0.000731529,2,0.000731529,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
bellandevans.com,2603,2595,8,0.003073377,718,0.276685934,192,0.073988439,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
beef.org,2603,2600,3,0.001152516,1217,0.468076923,94,0.036153846,2,0.000769231,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
benekeith.com,2496,2496,0,0,1256,0.503205128,40,0.016025641,3,0.001201923,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
landofrost.com,2483,2440,43,0.017317761,676,0.27704918,52,0.021311475,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
bellsouth.net,2454,2454,0,0,1142,0.465362673,127,0.051752241,4,0.001629992,1,0.000407498,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
costco.com,2331,2331,0,0,574,0.246246246,67,0.028743029,2,0.000858001,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
kayem.com,2291,2290,1,0.000436491,1038,0.453275109,23,0.010043668,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
omahasteaks.com,2281,2281,0,0,252,0.110477861,87,0.038141166,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
verizon.net,2271,2270,1,0.000440335,1049,0.462114537,164,0.072246696,4,0.001762115,1,0.000440529,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
intralox.com,2221,2221,0,0,996,0.448446646,149,0.067086898,3,0.001350743,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
houseofraeford.com,2191,2187,4,0.00182565,1068,0.488340192,89,0.040695016,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
cfpbeef.com,2183,2140,43,0.019697664,1028,0.480373832,83,0.038785047,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
brucepac.com,2180,2159,21,0.009633028,450,0.208429829,32,0.014821677,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
casefarms.com,2170,2131,39,0.01797235,530,0.248709526,39,0.018301267,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
buddig.com,2139,2139,0,0,1046,0.489013558,62,0.028985507,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
stfmail.com,2084,2084,0,0,176,0.084452975,81,0.038867562,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
amcor.com,2073,2073,0,0,313,0.150988905,84,0.040520984,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
nor-am.com,2063,2060,3,0.001454193,1486,0.721359223,162,0.078640777,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
fsis.usda.gov,2054,2032,22,0.010710808,494,0.243110236,74,0.036417323,1,0.000492126,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
monogramfoods.com,2008,2000,8,0.003984064,284,0.142,46,0.023,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
cox.net,1975,1974,1,0.000506329,1017,0.515197568,261,0.132218845,1,0.000506586,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
triumphfoods.com,1961,1930,31,0.015808261,450,0.233160622,140,0.07253886,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
conagra.com,1942,1941,1,0.000514933,233,0.120041216,38,0.019577537,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
mapleleaffarms.com,1934,1925,9,0.004653568,1117,0.58025974,87,0.045194805,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
hylife.com,1887,1885,2,0.001059883,453,0.240318302,4,0.002122016,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
harrisranchbeef.com,1850,1795,55,0.02972973,237,0.132033426,52,0.028969359,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
dawnfarms.ie,1849,1847,2,0.001081666,443,0.239848403,30,0.016242555,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
auburn.edu,1829,1829,0,0,721,0.394204483,88,0.048113723,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
goldcreekfoods.com,1802,1802,0,0,887,0.492230855,85,0.047169811,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
miniat.com,1783,1762,21,0.011777902,393,0.223041998,111,0.062996595,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
americold.com,1762,1762,0,0,203,0.115209989,53,0.030079455,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
safefoods.net,1760,1760,0,0,772,0.438636364,128,0.072727273,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
ecolab.com,1756,1756,0,0,129,0.073462415,48,0.027334852,2,0.001138952,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
conestogameats.com,1751,1751,0,0,521,0.29754426,35,0.019988578,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
olymel.com,1706,1706,0,0,184,0.107854631,26,0.015240328,1,0.000586166,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
kerry.com,1692,1685,7,0.004137116,138,0.08189911,54,0.032047478,3,0.001780415,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
bwfoods.com,1682,1679,3,0.001783591,654,0.38951757,103,0.061346039,1,0.000595593,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
agribeef.com,1676,1672,4,0.002386635,226,0.135167464,92,0.055023923,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
uark.edu,1656,1656,0,0,385,0.232487923,102,0.061594203,3,0.001811594,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
handtmann.us,1643,1643,0,0,846,0.514911747,50,0.030432136,2,0.001217285,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
gostampede.com,1627,1627,0,0,314,0.192993239,34,0.020897357,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
farbestfoods.com,1623,1583,40,0.024645718,486,0.307012003,102,0.064434618,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
merck.com,1606,1606,0,0,676,0.420921544,47,0.029265255,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
hantover.com,1599,1599,0,0,517,0.323327079,96,0.060037523,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
essentiaproteins.com,1595,1588,7,0.004388715,1099,0.692065491,112,0.070528967,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
coloradopremium.com,1589,1585,4,0.002517306,1042,0.657413249,8,0.005047319,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
pfgc.com,1588,1577,4,0.002518892,472,0.299302473,57,0.036144578,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
colostate.edu,1575,1574,1,0.000634921,754,0.479034307,80,0.050825921,0,0,0,0,0,0,0,0,0,1080156,1074236,5903,0.005464951,420501,0.391441918,53549,0.04984845,801,0.000745646,23,2.14105652761591E-05,0,0,0,0,0
